"","x"
"1",0.5943
"2",0.5153
"3",0.5482
"4",0.5652
"5",0.564
"6",0.5574
"7",0.5285
"8",0.5508
"9",0.5683
"10",0.5665
"11",0.5531
"12",0.5858
"13",0.5486
"14",0.5668
"15",0.564
"16",0.5602
"17",0.5636
"18",0.5298
"19",0.5579
"20",0.5465
"21",0.5484
"22",0.5547
"23",0.5717
"24",0.5399
"25",0.5516
"26",0.5725
"27",0.5191
"28",0.5459
"29",0.5258
"30",0.5253
"31",0.5584
"32",0.5549
"33",0.5691
"34",0.5686
"35",0.5362
"36",0.5524
"37",0.5533
"38",0.5127
"39",0.543
"40",0.5434
"41",0.5473
"42",0.5322
"43",0.5391
"44",0.5454
"45",0.5372
"46",0.5383
"47",0.5688
"48",0.5632
"49",0.5478
"50",0.5162
"51",0.511
"52",0.518
"53",0.5129
"54",0.5348
"55",0.529
"56",0.5288
"57",0.5492
"58",0.5533
"59",0.5567
"60",0.5067
"61",0.5178
"62",0.5054
"63",0.5143
"64",0.5165
"65",0.5516
"66",0.5582
"67",0.561
"68",0.5776
"69",0.5245
"70",0.5744
"71",0.5464
"72",0.5661
"73",0.5354
"74",0.5405
"75",0.5339
"76",0.5501
"77",0.5546
"78",0.5551
"79",0.5522
"80",0.5709
"81",0.5588
"82",0.5658
"83",0.5852
"84",0.5116
"85",0.5332
"86",0.5303
"87",0.5357
"88",0.5298
"89",0.5632
"90",0.5353
"91",0.5973
"92",0.5719
"93",0.5786
"94",0.567
"95",0.5724
"96",0.5783
"97",0.5614
"98",0.5558
"99",0.5648
"100",0.5401
"101",0.5976
"102",0.57
"103",0.5987
"104",0.598
"105",0.555
"106",0.5656
"107",0.577
"108",0.5682
"109",0.571
"110",0.534
"111",0.6725
"112",0.6792
"113",0.6299
"114",0.6587
"115",0.6605
"116",0.6581
"117",0.7063
"118",0.6686
"119",0.6646
"120",0.6542
"121",0.6616
"122",0.66
"123",0.6499
"124",0.6574
"125",0.6834
"126",0.6615
"127",0.6713
"128",0.6921
"129",0.6641
"130",0.6553
"131",0.6484
"132",0.6646
"133",0.6578
"134",0.6905
"135",0.6295
"136",0.6787
"137",0.6615
"138",0.6615
"139",0.6851
"140",0.6553
"141",0.6468
"142",0.6616
"143",0.6616
"144",0.6549
"145",0.6375
"146",0.6472
"147",0.6516
"148",0.6525
"149",0.6581
"150",0.6538
"151",0.6553
"152",0.6558
"153",0.6484
"154",0.6599
"155",0.6243
"156",0.6401
"157",0.6388
"158",0.6519
"159",0.6541
"160",0.6593
"161",0.6553
"162",0.6767
"163",0.6803
"164",0.6712
"165",0.6542
"166",0.6275
"167",0.6754
"168",0.6174
"169",0.6622
"170",0.6541
"171",0.662
"172",0.6545
"173",0.6553
"174",0.6578
"175",0.6578
"176",0.6514
"177",0.6037
"178",0.689
"179",0.6188
"180",0.6468
"181",0.6505
"182",0.6648
"183",0.6467
"184",0.6387
"185",0.6387
"186",0.6587
"187",0.6381
"188",0.5831
"189",0.6193
"190",0.6193
"191",0.6315
"192",0.6546
"193",0.7018
"194",0.6657
"195",0.6512
"196",0.6634
"197",0.6445
"198",0.6433
"199",0.5774
"200",0.6661
"201",0.6372
"202",0.6617
"203",0.6692
"204",0.6704
"205",0.6283
"206",0.6715
"207",0.6702
"208",0.6573
"209",0.6806
"210",0.6428
"211",0.6839
"212",0.6407
"213",0.6643
"214",0.6789
"215",0.6445
"216",0.6951
"217",0.7172
"218",0.6852
"219",0.6662
"220",0.6728
"221",0.6565
"222",0.7435
"223",0.69
"224",0.7161
"225",0.6721
"226",0.6743
"227",0.6982
"228",0.672
"229",0.6795
"230",0.7036
"231",0.6787
"232",0.6551
"233",0.6943
"234",0.7247
"235",0.7249
"236",0.6721
"237",0.6794
"238",0.7034
"239",0.691
"240",0.6844
"241",0.6557
"242",0.6787
"243",0.6551
"244",0.7333
"245",0.671
"246",0.7202
"247",0.6721
"248",0.6721
"249",0.7039
"250",0.672
"251",0.7166
"252",0.6787
"253",0.6787
"254",0.6551
"255",0.662
"256",0.6804
"257",0.7298
"258",0.6725
"259",0.6721
"260",0.664
"261",0.6709
"262",0.6681
"263",0.6554
"264",0.6787
"265",0.6603
"266",0.6799
"267",0.6807
"268",0.6974
"269",0.6718
"270",0.6721
"271",0.6683
"272",0.6683
"273",0.6786
"274",0.6698
"275",0.6555
"276",0.6648
"277",0.6797
"278",0.6551
"279",0.703
"280",0.665
"281",0.692
"282",0.6892
"283",0.6683
"284",0.6619
"285",0.6584
"286",0.6551
"287",0.6551
"288",0.6551
"289",0.6713
"290",0.7037
"291",0.6941
"292",0.7524
"293",0.6828
"294",0.7086
"295",0.6552
"296",0.6669
"297",0.6695
"298",0.6551
"299",0.6551
"300",0.6551
"301",0.6878
"302",0.7215
"303",0.7554
"304",0.6734
"305",0.6904
"306",0.7049
"307",0.7005
"308",0.7449
"309",0.6551
"310",0.6661
"311",0.7107
"312",0.7097
"313",0.7168
"314",0.693
"315",0.6925
"316",0.7035
"317",0.6946
"318",0.6812
"319",0.6927
"320",0.6551
"321",0.7102
"322",0.673
"323",0.6735
"324",0.6892
"325",0.6551
"326",0.6885
"327",0.7188
"328",0.7044
"329",0.6638
"330",0.6842
